學校類型,設立別,學校,科系,校系,學類所屬學群編號,學類所屬學群名稱,學群編號編碼,大考中心學類編號,學類編碼,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,專任講師以上之比例,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數,教育部學類,三年後就業薪資_99學年日間碩士,三年後就業薪資_99學年在職碩士,三年後就業薪資 _99學年日間學士,99學年三年後就業薪資_進修學士,三年後就業薪資_99學年日間專科,三年後就業薪資_99學年進修專科,四年後就業薪資_99學年日間碩士,四年後就業薪資_99學年在職碩士,四年後就業薪資_99學年日間學士,四年後就業薪資_99學年進修學士,四年後就業薪資_99學年日間專科,四年後就業薪資_99學年進修專科,三年後就業薪資_100學年日間碩士,三年後就業薪資_100學年在職碩士,三年後就業薪資_100學年日間學士,三年後就業薪資_100學年進修學士,三年後就業薪資_100學年日間專科,三年後就業薪資_100學年進修專科,三年後就業率_99學年日間碩士,三年後就業率_99學年在職碩士,三年後就業率_99學年日間學士,三年後就業率_99學年進修學士,三年後就業率_99學年日間專科,三年後就業率_99學年進修專科,四年後就業率_99學年日間碩士,四年後就業率_99學年在職碩士,四年後就業率_99學年日間學士,四年後就業率_99學年進修學士,四年後就業率_99學年日間專科,四年後就業率_99學年進修專科,三年後就業率_100學年日間碩士,三年後就業率_100學年在職碩士,三年後就業率_100學年日間學士,三年後就業率_100學年進修學士,三年後就業率_100學年日間專科,三年後就業率_100學年進修專科,隔屆就業率成長幅度,隔屆就業薪資變化,隔年就業率成長幅度,隔年就業薪資變化
一般,私立,義守大學,醫學影像暨放射科學系,義守大學醫學影像暨放射科學系,4,醫藥衛生學群,4醫藥衛生學群,27,醫學影像暨放射科學學類,27醫學影像暨放射科學學類,1014,義守大學,9141050,醫學影像暨放射科學系,1.01E+11,義守大學醫學影像暨放射科學系,346,8,110,12 高雄市,一般,0.0231,56,62,111,104,0,13,0.278134125,0.037572254,8,1,1,8,8,1.621,10.15,5.06,9,0,0,142,0.683098592,0.211267606,97,30,13,0,IRC,1,1,0,0,0,1,"IR,RI,RC,RS,SI",1,1,0,1,0,1,5,R,0.5,0.17,0.012562927,0.030087873,0.005997001,667,8,0,2,20,0,4,0.00955414,0.00955414,0.006369427,314,3,0,2,0,1,醫學技術及檢驗學類,50520,79176,34624,38454,24355,39777,55016,79953,38523,42481,25793,44254,51524,65391,35602,33988,26390,45864,0.9526,0.9355,0.8423,0.8955,0.6933,0.9369,0.9587,0.9032,0.8772,0.9,0.7389,0.9279,0.917,0.9118,0.8392,0.9247,0.67,0.9437,0.0083,-1357.83,0.0083,3186
一般,私立,義守大學,護理學系,義守大學護理學系,4,醫藥衛生學群,4醫藥衛生學群,25,護理學類,25護理學類,1014,義守大學,9131046,護理學系,1.01E+11,義守大學護理學系,902,17,233,12 高雄市,一般,0.0188,179,186,257,252,0,28,0.133790441,0.031042129,17,0.882352941,1,15,17,0.938944614,9.4,11.13,11.93,10,0,128.5,0.509727626,0.233463035,65.5,30,30,0,SC,0,0,0,1,0,1,SI,0,1,0,1,0,0,4,S,0.71,0.57,0.015288788,0.049263873,0.01189128,1766,27,2,9,87,4,17,0.024447031,0.021536671,0.014551804,1718,42,2,25,2,8,護理學類,67335,72714,49785,51815,38223,40203,69833,74540,52463,54189,41062,41616,69710,70418,52190,53475,42673,40847,0.9721,0.9529,0.9612,0.9785,0.8744,0.9596,0.9641,0.9647,0.9645,0.978,0.9069,0.9507,0.9614,0.9898,0.9602,0.9729,0.8998,0.9587,-0.0074,1539.67,0.005,2271
一般,私立,實踐大學,休閒產業管理學系,實踐大學休閒產業管理學系,16,管理學群,16管理學群,114,休閒管理學類,114休閒管理學類,1017,實踐大學,10152049,休閒產業管理學系,1.02E+11,實踐大學休閒產業管理學系,260,7,60,30 臺北市,一般,0.0269,56,55,60,62,0,27,0.03546176,0.103846154,7,0.857142857,1,6,7,0.396226415,0,9.5,11.5,14,0,128,0.6875,0.21875,88,28,8,0,SRE,1,0,0,1,1,0,EC,0,0,0,0,1,1,3,S,0.56,0.33,0.015957447,0.033687943,0.005319149,564,9,0,2,19,0,3,0.037234043,0.028368794,0.012411348,564,21,2,7,3,4,運動休閒及休閒管理學類,48668,78039,28468,30299,26615,31034,50699,81176,30836,32556,28921,30244,50942,77795,29458,32527,22194,28711,0.9338,0.955,0.8735,0.8768,0.8657,0.8657,0.9301,0.9505,0.8892,0.885,0.8857,0.8806,0.9199,0.9718,0.8771,0.8384,0.8095,0.878,0.0126,-249.33,0.0084,1885
一般,私立,實踐大學,企業管理學系,實踐大學企業管理學系,16,管理學群,16管理學群,102,企業管理學類,102企業管理學類,1017,實踐大學,4131021,企業管理學系,1.02E+11,實踐大學企業管理學系,841,19,285,30 臺北市,一般,0.0226,202,201,203,214,0,21,0.019728982,0.024970273,19,0.894736842,1,17,19,0.91355692,7.55,10.79,12.17,8,0,128,0.6171875,0.21875,79,28,0,15,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,0.026525235,0.054759512,0.013297872,1880,50,8,10,103,9,16,0.04222341,0.037947622,0.004810262,1871,79,19,9,9,34,企業管理學類,47960,99045,29887,35199,24762,33925,52793,105597,32632,37663,27331,38150,48024,96539,30451,37259,28641,31935,0.9263,0.9546,0.875,0.9019,0.5993,0.8782,0.9376,0.9485,0.8969,0.9006,0.75,0.9054,0.9222,0.9583,0.8843,0.8802,0.705,0.8591,-0.0123,345.17,0.034,3898
一般,私立,實踐大學,服裝設計學系,實踐大學服裝設計學系,8,建築與設計學群,8建築與設計學群,59,時尚與服裝設計學類,59時尚與服裝設計學類,1017,實踐大學,2125051,服裝設計學系,1.02E+11,實踐大學服裝設計學系,1007,19,213,30 臺北市,一般,0.0189,259,242,236,195,2,73,-0.088053089,0.072492552,19,0.789473684,1,15,19,0.742942051,8.5,10.5,12.67,13.25,0,128,0.640625,0.21875,82,28,3,9,AE,0,0,1,0,1,0,EC,0,0,0,0,1,1,4,E,0.46,0.33,0.040540541,0.074074074,0.01001001,1998,81,7,7,148,9,11,0.037704918,0.032240437,0.009836066,1830,69,10,18,14,17,服飾學類,40639,71183,29504,28296,22084,,46975,73278,31709,31710,31680,,42519,65060,30793,28992,18445,,0.7895,1,0.8314,0.7891,0.5455,,0.7895,1,0.858,0.8203,0.7727,,0.7222,0.8,0.8712,0.8392,0.75,,-0.0054,-1179.4,0.057,4729
一般,私立,實踐大學,服飾設計與經營學系,實踐大學服飾設計與經營學系,8,建築與設計學群,8建築與設計學群,59,時尚與服裝設計學類,59時尚與服裝設計學類,1017,實踐大學,2125053,服飾設計與經營學系,1.02E+11,實踐大學服飾設計與經營學系,736,14,152,30 臺北市,一般,0.019,171,193,176,177,0,19,0.015417962,0.025815217,14,0.785714286,1,11,14,0.426766815,0,11.5,13.29,15,0,128,0.78125,0.21875,100,28,0,0,AE,0,0,1,0,1,0,EC,0,0,0,0,1,1,4,E,0.46,0.33,0.02672751,0.054758801,0.007822686,1534,41,4,4,84,5,7,0.029821074,0.027170311,0.014579192,1509,45,4,22,3,12,服飾學類,40639,71183,29504,28296,22084,,46975,73278,31709,31710,31680,,42519,65060,30793,28992,18445,,0.7895,1,0.8314,0.7891,0.5455,,0.7895,1,0.858,0.8203,0.7727,,0.7222,0.8,0.8712,0.8392,0.75,,-0.0054,-1179.4,0.057,4729
一般,私立,實踐大學,社會工作學系,實踐大學社會工作學系,10,社會與心理學群,10社會與心理學群,68,社會工作學類,68社會工作學類,1017,實踐大學,9231044,社會工作學系,1.02E+11,實踐大學社會工作學系,611,12,151,30 臺北市,一般,0.0196,141,152,141,154,0,23,0.032614782,0.037643208,12,0.916666667,1,11,12,1.008581752,12.33,9,15.64,5.5,0,128,0.640625,0.21875,82,28,6,12,SEC,0,0,0,1,1,1,SI,0,1,0,1,0,0,3,S,0.59,0.18,0.028861154,0.063962559,0.020280811,1282,37,7,9,82,12,14,0.025995126,0.022745735,0.007311129,1231,32,3,9,5,11,社會工作學類,47057,62760,33049,35006,,,49602,67490,35184,35673,,,47556,70088,32770,35627,,,0.9591,1,0.9034,0.9378,,,0.9638,1,0.9183,0.9355,,,0.9697,1,0.91,0.9309,,,-0.0026,2042.25,0.0043,2519
一般,私立,實踐大學,金融管理學系,實踐大學金融管理學系,17,財經學群,17財經學群,116,財務金融學類,116財務金融學類,1017,實踐大學,4121032,金融管理學系,1.02E+11,實踐大學金融管理學系,312,9,98,30 臺北市,一般,0.0288,51,80,76,101,0,4,0.28252494,0.012820513,9,1,1,9,9,1.110833333,2,10.33,11,0,0,128,0.6328125,0.21875,81,28,0,10,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.5,0.43,0.007792208,0.012987013,0.002597403,770,6,2,0,10,2,0,0.033766234,0.032467532,0.016883117,770,26,7,13,3,2,財務金融學類,49353,88168,32166,36617,22887,34905,57129,93077,35652,38887,26317,38813,47774,88512,32461,34283,25377,50780,0.9234,0.9624,0.864,0.9036,0.587,0.9655,0.9451,0.9624,0.8992,0.895,0.78,0.931,0.9382,0.9705,0.8844,0.9039,0.6071,0.3594,0.0904,2515.17,0.0345,4297
一般,私立,實踐大學,建築設計學系,實踐大學建築設計學系,8,建築與設計學群,8建築與設計學群,55,景觀與空間設計學類,55景觀與空間設計學類,1017,實踐大學,7311041,建築設計學系,1.02E+11,實踐大學建築設計學系,259,12,38,30 臺北市,一般,0.0463,56,50,50,41,39,23,-0.095714286,0.088803089,12,1,1,12,12,1.013147083,0,11.33,11.17,0,0,168,0.797619048,0.166666667,134,28,0,4,AE,0,0,1,0,1,0,AI,0,1,1,0,0,0,4,A,0.5,0.5,0.051923077,0.078846154,0.051923077,520,27,2,16,41,2,25,0.045360825,0.043298969,0.024742268,485,22,3,12,0,6,建築學類,39013,68892,29411,33635,25888,30045,41826,72127,32214,35287,30381,30848,42786,75862,29201,34948,26736,42397,0.9167,0.9468,0.9067,0.9007,0.5897,0.9444,0.9088,0.9468,0.9176,0.9155,0.6829,0.9444,0.9218,0.9091,0.8985,0.903,0.4146,0.8684,0.0483,4174.33,0.0185,2633
一般,私立,實踐大學,音樂學系,實踐大學音樂學系,9,藝術學群,9藝術學群,64,音樂學類,64音樂學類,1017,實踐大學,2151001,音樂學系,1.02E+11,實踐大學音樂學系,220,9,39,30 臺北市,一般,0.0409,56,55,48,41,0,20,-0.096987734,0.090909091,9,0.888888889,1,8,9,0.7968,7.1,11.82,13,11,0,128,0.78125,0.21875,100,28,0,0,AS,0,0,1,1,0,0,AE,0,0,1,0,1,0,4,A,0.5,0.5,0.039351852,0.069444444,0.030092593,432,17,8,2,30,9,4,0.043927649,0.041343669,0.005167959,387,17,7,2,1,6,音樂學類,53083,74454,31875,26387,,,54783,74389,33807,29363,,,50582,70192,33165,28772,,,0.7813,0.9281,0.6571,0.7551,,,0.8318,0.9353,0.681,0.7857,,,0.7902,0.9412,0.6371,0.7264,,,0.0067,-772,0.028,1636
