學校類型,設立別,學校,科系,校系,大考中心學群編號,學群編號編碼,大考中心學類編號,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,欄位11,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,123 個學類,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,學類所屬學群編號,學類所屬學群名稱,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數
1,公立,國立政治大學,歐洲語文學系,國立政治大學歐洲語文學系,12,12外語學群,80,80歐語文學類,0001,國立政治大學,02311016,歐洲語文學系,000102311016,國立政治大學歐洲語文學系,292,11,75,30 臺北市,1 一般,3.77%,59,63,60,65,0,45,-3.45%,18.22%,11,1,1,11,11,0.969285714,6,6.57,13,0,0,128,0.78125,0.21875,100,28,0,0,歐語文學類,AS,0,0,1,1,0,0,CE,0,0,0,0,1,1,2,A,0.32,0.21,12,外語學群,0.006369427,0.019083005,0.001766784,566,4,0,1,11,0,1,0.014109347,0.014109347,0.007054674,567,8,2,4,0,2
1,公立,國立政治大學,斯拉夫語文學系,國立政治大學斯拉夫語文學系,12,12外語學群,82,82東方語文學類,0001,國立政治大學,02311017,斯拉夫語文學系,000102311017,國立政治大學斯拉夫語文學系,253,17,50,30 臺北市,1 一般,6.72%,59,58,56,48,0,32,6.48%,14.48%,18,0.777777778,0.944444444,14,17,0.784856879,8,8,10.33,10.33,0,128,0.78125,0.21875,100,28,0,0,東方語文學類,AS,0,0,1,1,0,0,"EC,SA",0,0,1,1,1,1,4,E,0.33,0.33,12,外語學群,0.021484375,0.05859375,0.009765625,512,11,0,3,30,0,5,0.01497006,0.01497006,0,334,5,1,0,0,4
1,公立,國立政治大學,中國文學系,國立政治大學中國文學系,13,13文史哲學群,84,84中國語文學類,0001,國立政治大學,02322008,中國文學系,000102322008,國立政治大學中國文學系,535,28,98,30 臺北市,1 一般,5.23%,123,113,132,112,20,35,2.16%,7.00%,28,0.964285714,1,27,28,0.92,6.83,6.43,8.5,6,0,128,0.78125,0.21875,100,28,0,0,中國語文學類,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,13,文史哲學群,0.055743243,0.192567568,0.077702703,1184,66,26,11,228,68,24,0.023279352,0.023279352,0.010121457,988,23,2,10,0,11
1,公立,國立政治大學,中國文學系,國立政治大學中國文學系,13,13文史哲學群,84,84中國語文學類,0001,國立政治大學,02322008,中國文學系,000102322008,國立政治大學中國文學系,535,28,98,30 臺北市,1 一般,5.23%,16,25,24,6,5,0,7.58%,0.00%,28,0.964285714,1,27,28,0.92,6.83,6.43,8.5,6,0,128,0.78125,0.21875,100,28,0,0,中國語文學類,AS,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,A,0.36,0.21,13,文史哲學群,0.055743243,0.192567568,0.077702703,1184,66,26,11,228,68,24,0.023279352,0.023279352,0.010121457,988,23,2,10,0,11
1,公立,國立政治大學,經濟學系,國立政治大學經濟學系,17,17財經學群,120,120經濟學類,0001,國立政治大學,03111024,經濟學系,000103111024,國立政治大學經濟學系,514,23,146,30 臺北市,1 一般,4.47%,133,128,105,116,7,25,3.75%,5.11%,23,1,1,23,23,1.641991925,5.5,5.7,6.43,0,0,128,0.78125,0.21875,100,28,0,0,經濟學類,EC,0,0,0,0,1,1,EC,0,0,0,0,1,1,6,"E,I",0.36,0.36,17,財經學群,0.020952381,0.056190476,0.013333333,1050,22,0,7,59,0,14,0.013888889,0.0125,0.004166667,720,10,2,3,0,4
1,公立,國立政治大學,政治學系,國立政治大學政治學系,15,15法政學群,100,100政治學類,0001,國立政治大學,03121026,政治學系,000103121026,國立政治大學政治學系,320,14,61,30 臺北市,1 一般,4.38%,75,78,76,61,12,18,6.10%,5.96%,15,0.933333333,0.933333333,14,14,1.820512821,7.2,6,6.8,0,0,128,0.78125,0.21875,100,28,0,0,政治學類,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,15,法政學群,0.043478261,0.102484472,0.035714286,644,28,3,10,66,5,18,0.035369775,0.035369775,0.019292605,311,11,1,6,0,4
1,公立,國立政治大學,外交學系,國立政治大學外交學系,15,15法政學群,100,100政治學類,0001,國立政治大學,03122045,外交學系,000103122045,國立政治大學外交學系,361,11,76,30 臺北市,1 一般,3.05%,24,22,7,11,6,0,6.46%,0.00%,11,1,1,11,11,2.572857143,8.88,8.13,6,0,0,128,0.78125,0.21875,100,28,0,0,政治學類,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,15,法政學群,0.037647059,0.128235294,0.008235294,850,32,2,1,109,4,3,0.032075472,0.032075472,0.001886792,530,17,3,1,0,13
1,公立,國立政治大學,外交學系,國立政治大學外交學系,15,15法政學群,100,100政治學類,0001,國立政治大學,03122045,外交學系,000103122045,國立政治大學外交學系,361,11,76,30 臺北市,1 一般,3.05%,88,81,79,80,3,30,3.05%,9.06%,11,1,1,11,11,2.572857143,8.88,8.13,6,0,0,128,0.78125,0.21875,100,28,0,0,政治學類,ES,0,0,0,1,1,0,EA,0,0,1,0,1,0,4,E,0.33,0.22,15,法政學群,0.037647059,0.128235294,0.008235294,850,32,2,1,109,4,3,0.032075472,0.032075472,0.001886792,530,17,3,1,0,13
1,公立,國立政治大學,心理學系,國立政治大學心理學系,10,10社會與心理學群,66,66心理學類,0001,國立政治大學,03131032,心理學系,000103131032,國立政治大學心理學系,308,18,79,30 臺北市,1 一般,5.84%,66,78,74,74,7,9,-4.35%,3.01%,19,0.947368421,0.947368421,18,18,1.890859482,6.86,6,6.33,0,0,128,0.78125,0.21875,100,28,0,0,心理學類,SA,0,0,1,1,0,0,SA,0,0,1,1,0,0,6,S,0.42,0.19,10,社會與心理學群,0.02484472,0.071428571,0.023291925,644,16,2,4,46,4,11,0.026315789,0.026315789,0,380,10,1,0,0,9
1,公立,國立政治大學,社會學系,國立政治大學社會學系,10,10社會與心理學群,67,67社會學學類,0001,國立政治大學,03141030,社會學系,000103141030,國立政治大學社會學系,275,12,58,30 臺北市,1 一般,4.36%,69,69,56,52,6,23,8.66%,9.13%,13,0.923076923,0.923076923,12,12,1.775714286,5,6.43,6,0,0,128,0.78125,0.21875,100,28,0,0,社會學學類,EAS,0,0,1,1,1,0,SA,0,0,1,1,0,0,5,S,0.39,0.22,10,社會與心理學群,0.034671533,0.094890511,0.032846715,548,19,3,6,52,5,13,0.038043478,0.038043478,0.013586957,368,14,2,5,0,7
