學校類型,設立別,學校,科系,校系,大考中心學群編號,學群編號編碼,大考中心學類編號,學類編號編碼,學校代碼,學校名稱,科系代碼,科系名稱,校系代碼,校系名稱,學生數,教師數,上學年度畢業生數,縣市名稱,體系別,師生比,一年級人數,二年級人數,三年級人數,四年級人數,大四以上年級人數,延畢人數,人數下滑率,延畢率,教師總數,專任助理教授以上之比例,欄位11,專任助理教授以上總人數,專任講師以上總人數,正副教授比較助理教授及講師講課時數之倍數,專任教授平均每週授課時數,專任副教授平均每週授課時數,專任助理教授平均每週授課時數,專任講師平均每週授課時數,專任其他教師平均每週授課時數,畢業總學分數,專業學分比,通識/共同學分比,畢業專業學分數,畢業通識/共同學分數,畢業實習學分數,畢業其他畢業學分數,123 個學類,大學生興趣碼,大學生興趣碼R,大學生興趣碼I,大學生興趣碼A,大學生興趣碼S,大學生興趣碼E,大學生興趣碼C,職業Holland碼前二碼,職業興趣碼R,職業興趣碼I,職業興趣碼A,職業興趣碼S,職業興趣碼E,職業興趣碼C,命中率,職業Holland碼首碼,首碼職業關聯百分比,前二碼職業關聯百分比,學類所屬學群編號,學類所屬學群名稱,辦理休學率,總休學率,因學業成績與志趣不合總休學率,休學人數整理2_在學學生數,學期內新辦理休學人數小計,因學業成績學期內新辦理休學人數,因志趣不合學期內新辦理休學人數,至學期底總休學人數小計,因學業成績至學期底總休學人數,因志趣不合至學期底總休學人數,退學率,因成績/志趣與逾期退學率,因志趣不合退學率,退學人數整理2_在學學生數,退學人數小計,因學業成績退學人數,因志趣不合退學人數,因逾期未註冊退學人數,因休學逾期未復學退學人數
2,公立,國立雲林科技大學,建築與室內設計系,國立雲林科技大學建築與室內設計系,8,8建築與設計學群,55,55景觀與空間設計學類,0023,國立雲林科技大學,02124016,建築與室內設計系,002302124016,國立雲林科技大學建築與室內設計系,268,12,62,09 雲林縣,2 技職,4.48%,67,75,60,45,0,21,11.02%,8.50%,12,0.833333333,1,10,12,0.650406504,5.1,10.7,13.13,11.7,0,136,0.779411765,0.220588235,106,30,0,0,景觀與空間設計學類,AE,0,0,1,0,1,0,AI,0,1,1,0,0,0,4,A,0.5,0.5,8,建築與設計學群,0.042704626,0.104982206,0.035587189,562,24,8,2,59,16,4,0.033898305,0.020715631,0,531,18,0,0,2,9
2,公立,國立雲林科技大學,應用外語系,國立雲林科技大學應用外語系,12,12外語學群,79,79英語文學類,0023,國立雲林科技大學,02311004,應用外語系,002302311004,國立雲林科技大學應用外語系,368,15,100,09 雲林縣,2 技職,4.08%,74,96,94,82,3,19,-4.96%,5.44%,15,0.933333333,1,14,15,0.636944938,5.47,11.46,13.35,13.8,0,134,0.776119403,0.223880597,104,30,0,0,英語文學類,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,12,外語學群,0.024342878,0.068338493,0.010680908,749,18,3,1,51,6,2,0.074626866,0.059701493,0,268,20,0,0,8,8
2,公立,國立雲林科技大學,會計系,國立雲林科技大學會計系,17,17財經學群,115,115會計學類,0023,國立雲林科技大學,04111018,會計系,002304111018,國立雲林科技大學會計系,324,13,92,09 雲林縣,2 技職,4.01%,81,100,66,68,9,0,2.50%,0.00%,13,1,1,13,13,2.049674267,11.17,13,11.28,0,0,129,0.76744186,0.23255814,99,30,0,0,會計學類,CE,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.65,0.57,17,財經學群,0.009597088,0.038491768,0.004823151,622,6,0,0,24,3,0,0.033755274,0.021097046,0,237,8,0,0,0,5
2,公立,國立雲林科技大學,財務金融系,國立雲林科技大學財務金融系,17,17財經學群,116,116財務金融學類,0023,國立雲林科技大學,04121024,財務金融系,002304121024,國立雲林科技大學財務金融系,399,14,127,09 雲林縣,2 技職,3.51%,145,112,69,62,8,3,23.77%,0.76%,14,0.928571429,1,13,14,1.092748735,13.8,11.12,11.72,11,0,136,0.779411765,0.220588235,106,30,0,0,財務金融學類,EC,0,0,0,0,1,1,CE,0,0,0,0,1,1,6,C,0.5,0.43,17,財經學群,0.043032787,0.12704918,0.010245902,488,21,1,1,62,3,2,0.025522042,0.011600928,0,431,11,0,0,2,3
2,公立,國立雲林科技大學,企業管理系,國立雲林科技大學企業管理系,16,16管理學群,102,102企業管理學類,0023,國立雲林科技大學,04131019,企業管理系,002304131019,國立雲林科技大學企業管理系,648,18,202,09 雲林縣,2 技職,2.78%,168,207,113,117,31,12,6.22%,1.89%,18,1,1,18,18,2.215319149,11.61,13.42,10.75,0,0,210,0.80952381,0.19047619,170,40,0,0,企業管理學類,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,16,管理學群,0.030612245,0.093406593,0.010989011,1274,39,5,0,119,14,0,0.024930748,0.020313943,0.000923361,1083,27,1,1,10,10
2,公立,國立雲林科技大學,資訊管理系,國立雲林科技大學資訊管理系,16,16管理學群,105,105資訊管理學類,0023,國立雲林科技大學,06131032,資訊管理系,002306131032,國立雲林科技大學資訊管理系,477,17,173,09 雲林縣,2 技職,3.56%,115,111,116,110,11,14,1.38%,3.02%,18,0.944444444,0.944444444,17,17,2.034,9.11,10.23,9,0,0,208,0.807692308,0.192307692,168,40,0,0,資訊管理學類,RC,1,0,0,0,0,1,IC,0,1,0,0,0,1,4,I,0.44,0.25,16,管理學群,0.030332681,0.084148728,0.022504892,1022,31,6,5,86,9,14,0.022167488,0.018472906,0.001231527,812,18,0,1,7,7
2,公立,國立雲林科技大學,化學工程與材料工程系,國立雲林科技大學化學工程與材料工程系,2,2工程學群,10,10化學工程學類,0023,國立雲林科技大學,07111045,化學工程與材料工程系,002307111045,國立雲林科技大學化學工程與材料工程系,553,15,147,09 雲林縣,2 技職,2.71%,152,162,117,111,1,10,8.78%,1.84%,16,0.9375,0.9375,15,15,24.21,11.37,11.84,0,0,0,135,0.777777778,0.222222222,105,30,0,0,化學工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.56,0.33,2,工程學群,0.014040734,0.032853553,0.014084507,852,12,4,3,28,7,5,0.024324324,0.021621622,0,740,18,6,0,2,8
2,公立,國立雲林科技大學,環境與安全衛生工程系,國立雲林科技大學環境與安全衛生工程系,7,7地球與環境學群,53,53環境工程學類,0023,國立雲林科技大學,07121049,環境與安全衛生工程系,002307121049,國立雲林科技大學環境與安全衛生工程系,351,14,90,09 雲林縣,2 技職,3.99%,18,19,9,2,5,0,41.62%,0.00%,15,0.933333333,0.933333333,14,14,22.3,8.86,12.44,0,0,0,138,0.782608696,0.217391304,108,30,0,0,環境工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.64,0.55,7,地球與環境學群,0.033067671,0.118586117,0.029661017,708,23,2,6,83,9,12,0.028350515,0.020618557,0.00257732,388,11,1,1,2,4
2,公立,國立雲林科技大學,環境與安全衛生工程系,國立雲林科技大學環境與安全衛生工程系,7,7地球與環境學群,53,53環境工程學類,0023,國立雲林科技大學,07121049,環境與安全衛生工程系,002307121049,國立雲林科技大學環境與安全衛生工程系,351,14,90,09 雲林縣,2 技職,3.99%,18,19,9,2,5,0,41.62%,0.00%,15,0.933333333,0.933333333,14,14,22.3,8.86,12.44,0,0,0,138,0.782608696,0.217391304,108,30,0,0,環境工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.64,0.55,7,地球與環境學群,0.033067671,0.118586117,0.029661017,708,23,2,6,83,9,12,0.064308682,0.041800643,0,311,20,1,0,2,10
2,公立,國立雲林科技大學,環境與安全衛生工程系,國立雲林科技大學環境與安全衛生工程系,7,7地球與環境學群,53,53環境工程學類,0023,國立雲林科技大學,07121049,環境與安全衛生工程系,002307121049,國立雲林科技大學環境與安全衛生工程系,351,14,90,09 雲林縣,2 技職,3.99%,105,97,73,65,0,11,14.44%,3.24%,15,0.933333333,0.933333333,14,14,22.3,8.86,12.44,0,0,0,138,0.782608696,0.217391304,108,30,0,0,環境工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.64,0.55,7,地球與環境學群,0.033067671,0.118586117,0.029661017,708,23,2,6,83,9,12,0.028350515,0.020618557,0.00257732,388,11,1,1,2,4
2,公立,國立雲林科技大學,環境與安全衛生工程系,國立雲林科技大學環境與安全衛生工程系,7,7地球與環境學群,53,53環境工程學類,0023,國立雲林科技大學,07121049,環境與安全衛生工程系,002307121049,國立雲林科技大學環境與安全衛生工程系,351,14,90,09 雲林縣,2 技職,3.99%,105,97,73,65,0,11,14.44%,3.24%,15,0.933333333,0.933333333,14,14,22.3,8.86,12.44,0,0,0,138,0.782608696,0.217391304,108,30,0,0,環境工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.64,0.55,7,地球與環境學群,0.033067671,0.118586117,0.029661017,708,23,2,6,83,9,12,0.064308682,0.041800643,0,311,20,1,0,2,10
2,公立,國立雲林科技大學,電機工程系,國立雲林科技大學電機工程系,2,2工程學群,2,2電機工程學類,0023,國立雲林科技大學,07141033,電機工程系,002307141033,國立雲林科技大學電機工程系,779,22,232,09 雲林縣,2 技職,2.82%,237,239,154,142,1,6,14.17%,0.78%,22,1,1,22,22,1.62890625,9.52,10.33,11.8,0,0,136,0.779411765,0.220588235,106,30,0,0,電機工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.55,0.46,2,工程學群,0.02014424,0.048053716,0.016883117,1540,31,8,7,74,13,13,0.012768817,0.010752688,0.001344086,1488,19,1,2,4,9
2,公立,國立雲林科技大學,電子工程系,國立雲林科技大學電子工程系,2,2工程學群,4,4電子工程學類,0023,國立雲林科技大學,07141034,電子工程系,002307141034,國立雲林科技大學電子工程系,685,21,184,09 雲林縣,2 技職,3.07%,196,202,146,134,0,7,10.96%,1.03%,21,1,1,21,21,1.638095238,7.98,9.94,10.55,0,0,136,0.779411765,0.220588235,106,30,0,0,電子工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.5,0.5,2,工程學群,0.015313936,0.035987749,0.009954058,1306,20,1,4,47,3,10,0.01003861,0.005405405,0,1295,13,3,0,3,1
2,公立,國立雲林科技大學,資訊工程系,國立雲林科技大學資訊工程系,1,1資訊學群,1,1資訊工程學類,0023,國立雲林科技大學,07141037,資訊工程系,002307141037,國立雲林科技大學資訊工程系,350,10,90,09 雲林縣,2 技職,2.86%,98,111,74,57,0,10,14.35%,2.94%,10,1,1,10,10,2.302013423,7.18,8.97,6.45,0,0,137,0.781021898,0.218978102,107,30,0,0,資訊工程學類,RI,1,1,0,0,0,0,IC,0,1,0,0,0,1,4,I,0.59,0.32,1,資訊學群,0.019354839,0.05,0.019354839,620,12,1,4,31,6,6,0.017175573,0.011450382,0,524,9,3,0,1,2
2,公立,國立雲林科技大學,機械工程系,國立雲林科技大學機械工程系,2,2工程學群,6,6機械工程學類,0023,國立雲林科技大學,07151041,機械工程系,002307151041,國立雲林科技大學機械工程系,699,20,181,09 雲林縣,2 技職,2.86%,194,186,170,126,8,15,12.87%,2.19%,20,0.95,1,19,20,1.210526316,6.39,8.71,0,12.3,0,136,0.779411765,0.220588235,106,30,0,0,機械工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.48,0.44,2,工程學群,0.010638298,0.02887538,0.007598784,1316,14,1,1,38,6,4,0.01155624,0.010015408,0.000770416,1298,15,7,1,0,5
2,公立,國立雲林科技大學,工業工程與管理系,國立雲林科技大學工業工程與管理系,16,16管理學群,107,107科技管理學類,0023,國立雲林科技大學,07191048,工業工程與管理系,002307191048,國立雲林科技大學工業工程與管理系,670,21,171,09 雲林縣,2 技職,3.13%,216,179,136,120,7,12,17.64%,1.82%,21,1,1,21,21,2.242,9.38,12.04,9,0,0,136,0.779411765,0.220588235,106,30,0,0,科技管理學類,ECR,1,0,0,0,1,1,EC,0,0,0,0,1,1,5,E,0.4,0.33,16,管理學群,0.037481259,0.111694153,0.023238381,1334,50,6,9,149,16,15,0.027755102,0.016326531,0.000816327,1225,34,1,1,6,12
2,公立,國立雲林科技大學,營建工程系,國立雲林科技大學營建工程系,2,2工程學群,8,8土木工程學類,0023,國立雲林科技大學,07321043,營建工程系,002307321043,國立雲林科技大學營建工程系,407,16,97,09 雲林縣,2 技職,3.93%,104,117,93,78,7,8,8.05%,2.01%,17,0.941176471,0.941176471,16,16,1.453333333,9.94,8.68,12.5,0,0,136,0.779411765,0.220588235,106,30,0,0,土木工程學類,RI,1,1,0,0,0,0,"RC,ER",1,0,0,0,1,1,3,R,0.43,0.29,2,工程學群,0.027048354,0.097569309,0.026912181,706,20,4,6,69,11,8,0.020804438,0.016643551,0.001386963,721,15,3,1,2,6
2,公立,國立屏東科技大學,應用外語系,國立屏東科技大學應用外語系,12,12外語學群,79,79英語文學類,0024,國立屏東科技大學,02311002,應用外語系,002402311002,國立屏東科技大學應用外語系,225,12,52,13 屏東縣,2 技職,5.33%,54,52,52,58,1,8,-2.61%,3.69%,12,0.833333333,1,10,12,0.513951395,1.92,8.5,10.58,10.64,0,130,0.692307692,0.223076923,90,29,11,0,英語文學類,AS,0,0,1,1,0,0,"SA,CE",0,0,1,1,1,1,4,A,0.27,0.15,12,外語學群,0.009153689,0.023683723,0,418,4,0,0,10,0,0,0.027777778,0.022222222,0.016666667,180,5,0,3,0,1
2,公立,國立屏東科技大學,企業管理系,國立屏東科技大學企業管理系,16,16管理學群,102,102企業管理學類,0024,國立屏東科技大學,04131005,企業管理系,002404131005,國立屏東科技大學企業管理系,561,15,143,13 屏東縣,2 技職,2.67%,128,131,137,147,3,15,-4.74%,2.75%,15,0.933333333,1,14,15,0.889638746,9.86,11.55,10.19,14,0,207,0.777777778,0.193236715,161,40,6,0,企業管理學類,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,16,管理學群,0.017355372,0.053719008,0.001652893,1210,21,0,0,65,0,2,0.036912752,0.032718121,0.014261745,1192,44,6,17,6,10
2,公立,國立屏東科技大學,工業管理系,國立屏東科技大學工業管理系,16,16管理學群,107,107科技管理學類,0024,國立屏東科技大學,04199009,工業管理系,002404199009,國立屏東科技大學工業管理系,435,14,106,13 屏東縣,2 技職,3.22%,117,119,99,95,2,3,6.38%,0.69%,14,0.857142857,1,12,14,0.845331433,10.86,11.86,8.96,18.1,0,136,0.647058824,0.213235294,88,29,19,0,科技管理學類,ECR,1,0,0,0,1,1,EC,0,0,0,0,1,1,5,E,0.4,0.33,16,管理學群,0.014341771,0.034069305,0.008225617,851,12,0,4,29,0,7,0.021582734,0.019184652,0.004796163,834,18,1,4,5,6
2,公立,國立屏東科技大學,生物科技系,國立屏東科技大學生物科技系,5,5生命科學學群,36,36生物科技學類,0024,國立屏東科技大學,05121015,生物科技系,002405121015,國立屏東科技大學生物科技系,283,12,72,13 屏東縣,2 技職,4.24%,83,78,64,53,1,4,13.72%,1.43%,12,1,1,12,12,1.545031056,10.48,8.42,11.88,0,0,130,0.638461538,0.223076923,83,29,18,0,生物科技學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.33,0.25,5,生命科學學群,0.049450549,0.118131868,0.035714286,364,18,4,0,43,6,7,0.027837259,0.021413276,0.006423983,467,13,1,3,1,5
2,公立,國立屏東科技大學,資訊管理系,國立屏東科技大學資訊管理系,16,16管理學群,105,105資訊管理學類,0024,國立屏東科技大學,06131017,資訊管理系,002406131017,國立屏東科技大學資訊管理系,305,10,81,13 屏東縣,2 技職,3.28%,87,86,70,59,0,3,11.82%,0.99%,10,1,1,10,10,21.33,10.91,9.42,0,0,0,136,0.720588235,0.213235294,98,29,9,0,資訊管理學類,RC,1,0,0,0,0,1,IC,0,1,0,0,0,1,4,I,0.44,0.25,16,管理學群,0.017006803,0.06462585,0.010204082,588,10,0,1,38,0,6,0.029810298,0.029810298,0.005420054,369,11,3,2,2,4
2,公立,國立屏東科技大學,環境工程與科學系,國立屏東科技大學環境工程與科學系,7,7地球與環境學群,53,53環境工程學類,0024,國立屏東科技大學,07121025,環境工程與科學系,002407121025,國立屏東科技大學環境工程與科學系,498,19,132,13 屏東縣,2 技職,3.82%,148,133,104,96,10,7,13.21%,1.43%,19,1,1,19,19,1.147565175,11.76,10.57,19.33,0,0,136,0.669117647,0.213235294,91,29,16,0,環境工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.64,0.55,7,地球與環境學群,0.020617449,0.057985771,0.007253886,965,20,0,3,56,1,6,0.030172414,0.026939655,0.006465517,928,28,6,6,5,8
2,公立,國立屏東科技大學,機械工程系,國立屏東科技大學機械工程系,2,2工程學群,6,6機械工程學類,0024,國立屏東科技大學,07151018,機械工程系,002407151018,國立屏東科技大學機械工程系,466,16,109,13 屏東縣,2 技職,3.43%,119,132,105,95,1,14,6.35%,3.10%,16,1,1,16,16,1.795075457,10.97,10.63,11.59,0,0,128,0.640625,0.2265625,82,29,17,0,機械工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.48,0.44,2,工程學群,0.011919777,0.024794806,0.006458558,929,11,1,2,23,2,4,0.01703163,0.015815085,0.006082725,822,14,2,5,2,4
2,公立,國立屏東科技大學,生物機電工程系,國立屏東科技大學生物機電工程系,2,2工程學群,6,6機械工程學類,0024,國立屏東科技大學,07151020,生物機電工程系,002407151020,國立屏東科技大學生物機電工程系,428,12,87,13 屏東縣,2 技職,2.80%,102,103,97,91,0,35,3.68%,8.91%,12,0.916666667,1,11,12,0.694890511,8.68,9.36,13.24,13.16,0,135,0.496296296,0.214814815,67,29,39,0,機械工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.48,0.44,2,工程學群,0.024038462,0.067307692,0.007211538,832,20,1,1,56,2,4,0.042806183,0.038049941,0.007134364,841,36,11,6,4,11
2,公立,國立屏東科技大學,車輛工程系,國立屏東科技大學車輛工程系,2,2工程學群,6,6機械工程學類,0024,國立屏東科技大學,07161019,車輛工程系,002407161019,國立屏東科技大學車輛工程系,430,15,118,13 屏東縣,2 技職,3.49%,102,108,102,102,0,16,-0.11%,3.86%,15,1,1,15,15,0.995490417,6.32,10.34,16.74,0,0,136,0.654411765,0.213235294,89,29,18,0,機械工程學類,RI,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.48,0.44,2,工程學群,0.034707158,0.078091106,0.021691974,922,32,4,5,72,7,13,0.013303769,0.013303769,0.006651885,902,12,1,6,0,5
2,公立,國立屏東科技大學,食品科學系,國立屏東科技大學食品科學系,6,6生物資源學群,47,47食品生技學類,0024,國立屏東科技大學,07211037,食品科學系,002407211037,國立屏東科技大學食品科學系,813,18,197,13 屏東縣,2 技職,2.21%,6,10,1,0,0,0,41.11%,0.00%,18,0.944444444,1,17,18,0.802352941,10.85,12.02,13.75,15,0,205,0.673170732,0.195121951,138,40,27,0,食品生技學類,RI,1,1,0,0,0,0,RI,1,1,0,0,0,0,6,R,0.5,0.5,6,生物資源學群,0.016883117,0.048701299,0.000649351,1540,26,0,1,75,0,1,0.025416998,0.021445592,0.004765687,1259,32,4,6,3,14
2,公立,國立屏東科技大學,食品科學系,國立屏東科技大學食品科學系,6,6生物資源學群,47,47食品生技學類,0024,國立屏東科技大學,07211037,食品科學系,002407211037,國立屏東科技大學食品科學系,813,18,197,13 屏東縣,2 技職,2.21%,252,182,177,163,8,14,12.81%,1.79%,18,0.944444444,1,17,18,0.802352941,10.85,12.02,13.75,15,0,205,0.673170732,0.195121951,138,40,27,0,食品生技學類,RI,1,1,0,0,0,0,RI,1,1,0,0,0,0,6,R,0.5,0.5,6,生物資源學群,0.016883117,0.048701299,0.000649351,1540,26,0,1,75,0,1,0.025416998,0.021445592,0.004765687,1259,32,4,6,3,14
2,公立,國立屏東科技大學,土木工程系,國立屏東科技大學土木工程系,2,2工程學群,8,8土木工程學類,0024,國立屏東科技大學,07321021,土木工程系,002407321021,國立屏東科技大學土木工程系,456,15,99,13 屏東縣,2 技職,3.29%,115,105,107,101,13,15,4.13%,3.40%,15,0.933333333,1,14,15,0.892421323,12.04,14.75,14.19,15.95,0,135,0.644444444,0.214814815,87,29,19,0,土木工程學類,RI,1,1,0,0,0,0,"RC,ER",1,0,0,0,1,1,3,R,0.43,0.29,2,工程學群,0.031512605,0.095588235,0.012605042,952,30,2,5,91,2,10,0.040570175,0.040570175,0.012061404,912,37,11,11,5,10
2,公立,國立屏東科技大學,農園生產系,國立屏東科技大學農園生產系,6,6生物資源學群,39,39農藝學類,0024,國立屏東科技大學,08111029,農園生產系,002408111029,國立屏東科技大學農園生產系,599,16,132,13 屏東縣,2 技職,2.67%,136,163,146,114,11,29,4.16%,5.09%,16,0.9375,1,15,16,1.165566557,9.13,11.06,11.38,5.8,0,130,0.507692308,0.223076923,66,29,35,0,農藝學類,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,R,0.5,0.3,6,生物資源學群,0.026724138,0.070689655,0.005172414,1160,31,1,1,82,1,5,0.036752137,0.030769231,0.001709402,1170,43,6,2,11,17
2,公立,國立屏東科技大學,農企業管理系,國立屏東科技大學農企業管理系,16,16管理學群,102,102企業管理學類,0024,國立屏東科技大學,08193036,農企業管理系,002408193036,國立屏東科技大學農企業管理系,323,10,86,13 屏東縣,2 技職,3.10%,112,84,56,51,0,6,22.42%,1.98%,10,0.9,1,9,10,0.984854082,11.76,13.9,14.2,11.87,0,130,0.684615385,0.223076923,89,29,12,0,企業管理學類,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,16,管理學群,0.024137931,0.051724138,0.006896552,580,14,0,2,30,0,4,0.03649635,0.03649635,0.00973236,411,15,1,4,2,8
2,公立,國立屏東科技大學,農企業管理系,國立屏東科技大學農企業管理系,16,16管理學群,102,102企業管理學類,0024,國立屏東科技大學,08193036,農企業管理系,002408193036,國立屏東科技大學農企業管理系,323,10,86,13 屏東縣,2 技職,3.10%,8,5,1,0,0,0,72.50%,0.00%,10,0.9,1,9,10,0.984854082,11.76,13.9,14.2,11.87,0,130,0.684615385,0.223076923,89,29,12,0,企業管理學類,ECS,0,0,0,1,1,1,EC,0,0,0,0,1,1,5,E,0.71,0.54,16,管理學群,0.024137931,0.051724138,0.006896552,580,14,0,2,30,0,4,0.03649635,0.03649635,0.00973236,411,15,1,4,2,8
2,公立,國立屏東科技大學,植物醫學系,國立屏東科技大學植物醫學系,6,6生物資源學群,45,45植物保護與昆蟲學類,0024,國立屏東科技大學,08194035,植物醫學系,002408194035,國立屏東科技大學植物醫學系,245,11,51,13 屏東縣,2 技職,4.49%,60,55,54,54,2,20,3.38%,8.89%,11,0.727272727,1,8,11,0.528041825,0,10.11,8.91,11.13,0,209,0.56937799,0.19138756,119,40,50,0,植物保護與昆蟲學類,IRA,1,1,1,0,0,0,IR,1,1,0,0,0,0,5,I,0.4,0.4,6,生物資源學群,0.033464567,0.086614173,0.013779528,508,17,0,3,44,0,7,0.040816327,0.036734694,0.014285714,490,20,2,7,1,8
2,公立,國立屏東科技大學,熱帶農業暨國際合作系,國立屏東科技大學熱帶農業暨國際合作系,6,6生物資源學群,39,39農藝學類,0024,國立屏東科技大學,08199030,熱帶農業暨國際合作系,002408199030,國立屏東科技大學熱帶農業暨國際合作系,277,8,66,13 屏東縣,2 技職,2.89%,90,70,50,39,23,5,24.26%,1.84%,8,1,1,8,8,1.309901738,7.21,9.12,12.23,0,0,130,0.730769231,0.215384615,95,28,7,0,農藝學類,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,R,0.5,0.3,6,生物資源學群,0.023438218,0.089953736,0.01369863,511,12,0,2,46,0,7,0.045,0.035,0.0025,400,18,1,1,2,10
2,公立,國立屏東科技大學,森林系,國立屏東科技大學森林系,6,6生物資源學群,42,42森林學類,0024,國立屏東科技大學,08211041,森林系,002408211041,國立屏東科技大學森林系,278,9,77,13 屏東縣,2 技職,3.24%,68,65,66,68,0,11,-0.05%,4.12%,9,1,1,9,9,1.526699029,8.97,8.9,11.36,0,0,204,0.632352941,0.196078431,129,40,35,0,森林學類,IR,1,1,0,0,0,0,RI,1,1,0,0,0,0,6,R,0.57,0.43,6,生物資源學群,0.018707483,0.066326531,0.008503401,588,11,1,2,39,2,3,0.034013605,0.030612245,0.010204082,294,10,0,3,2,4
2,公立,國立屏東科技大學,木材科學與設計系,國立屏東科技大學木材科學與設計系,8,8建築與設計學群,56,56工業設計學類,0024,國立屏東科技大學,08211043,木材科學與設計系,002408211043,國立屏東科技大學木材科學與設計系,238,8,65,13 屏東縣,2 技職,3.36%,71,55,50,57,0,5,5.88%,2.15%,8,1,1,8,8,1.682060391,6.86,11.08,10.26,0,0,136,0.661764706,0.213235294,90,29,17,0,工業設計學類,A,0,0,1,0,0,0,AE,0,0,1,0,1,0,5,A,0.5,0.2,8,建築與設計學群,0.030864198,0.092592593,0.014403292,486,15,0,2,45,2,5,0.038781163,0.033240997,0.008310249,361,14,3,3,0,6
2,公立,國立屏東科技大學,水產養殖系,國立屏東科技大學水產養殖系,6,6生物資源學群,43,43海洋資源學類,0024,國立屏東科技大學,08312046,水產養殖系,002408312046,國立屏東科技大學水產養殖系,262,11,64,13 屏東縣,2 技職,4.20%,72,58,60,65,3,4,2.55%,1.55%,11,1,1,11,11,1.587883959,9.1,8.51,10.72,0,0,136,0.661764706,0.213235294,90,29,17,0,海洋資源學類,IRC,1,1,0,0,0,1,SI,0,1,0,1,0,0,3,R,0.38,0.25,6,生物資源學群,0.034798535,0.084249084,0.014652015,546,19,3,3,46,3,5,0.017738359,0.015521064,0,451,8,2,0,3,2
2,公立,國立屏東科技大學,獸醫學系,國立屏東科技大學獸醫學系,6,6生物資源學群,44,44獸醫學類,0024,國立屏東科技大學,08411048,獸醫學系,002408411048,國立屏東科技大學獸醫學系,603,17,98,13 屏東縣,2 技職,2.82%,119,118,113,117,112,24,0.51%,4.15%,17,0.882352941,1,15,17,0.952743419,14.96,14.08,16.04,14.49,0,186,0.672043011,0.155913978,125,29,32,0,獸醫學類,IR,1,1,0,0,0,0,IR,1,1,0,0,0,0,6,I,0.5,0.5,6,生物資源學群,0.014474698,0.039157883,0.001702128,1175,17,0,0,46,2,0,0.015370705,0.00994575,0.002712477,1106,17,2,3,0,6
2,公立,國立屏東科技大學,幼兒保育系,國立屏東科技大學幼兒保育系,14,14教育學群,94,94幼兒教育學類,0024,國立屏東科技大學,09221052,幼兒保育系,002409221052,國立屏東科技大學幼兒保育系,316,9,84,13 屏東縣,2 技職,2.85%,63,66,97,77,0,13,-10.37%,4.29%,9,1,1,9,9,1.905069124,10.92,8.75,9.85,0,0,130,0.7,0.223076923,91,29,10,0,幼兒教育學類,SA SAC,0,0,1,1,0,1,SA,0,0,1,1,0,0,5,S,1,0.67,14,教育學群,0.009009009,0.036036036,0.003003003,666,6,0,1,24,0,2,0.018900344,0.018900344,0.015463918,582,11,0,9,0,2
2,公立,國立屏東科技大學,社會工作系,國立屏東科技大學社會工作系,10,10社會與心理學群,68,68社會工作學類,0024,國立屏東科技大學,09231051,社會工作系,002409231051,國立屏東科技大學社會工作系,467,10,107,13 屏東縣,2 技職,2.14%,112,106,118,112,0,19,-0.29%,4.24%,10,1,1,10,10,1.544486692,7.97,11.34,12.15,0,0,130,0.676923077,0.223076923,88,29,13,0,社會工作學類,SEC,0,0,0,1,1,1,SI,0,1,0,1,0,0,3,S,0.59,0.18,10,社會與心理學群,0.033707865,0.073033708,0.01011236,890,30,0,4,65,0,9,0.045592705,0.042553191,0.010638298,658,30,3,7,5,13
